# x l P_ref P_forward P_backward_exp abs_err_forward rel_err_forward abs_err_backward rel_err_backward
0.9 9 -3.695104859765626e-01 -3.695104859765627e-01 -3.038082646385445e-01 5.551115123125783e-17 1.502288929218068e-16 6.570222133801806e-02 1.778088141785114e-01
0.9 10 -2.631456178558595e-01 -2.631456178558596e-01 -1.924463975248801e-01 5.551115123125783e-17 2.109522160527278e-16 7.069922033097942e-02 2.686695712702523e-01
0.9 11 -1.162133925191018e-01 -1.162133925191019e-01 -5.446856971225354e-02 1.110223024625157e-16 9.553313955985506e-16 6.174482280684822e-02 5.313055704547938e-01
0.9 12 4.074871427242068e-02 4.074871427242058e-02 8.245091497750276e-02 9.714451465470120e-17 2.383989688736020e-15 4.170220070508208e-02 1.023399178346757e+00
0.9 13 1.778005216429759e-01 1.778005216429758e-01 1.929821864262196e-01 5.551115123125783e-17 3.122102832899694e-16 1.518166478324370e-02 8.538594062017739e-02
0.9 14 2.707728135987747e-01 2.707728135987747e-01 2.584003739606858e-01 0.000000000000000e+00 0.000000000000000e+00 1.237243963808893e-02 4.569306450544235e-02
0.9 15 3.051975421284238e-01 3.051975421284239e-01 2.694999433604550e-01 1.110223024625157e-16 3.637719415702198e-16 3.569759876796880e-02 1.169655512918503e-01
0.9 16 2.783387013375877e-01 2.783387013375879e-01 2.276901756466505e-01 1.665334536937735e-16 5.983122465308575e-16 5.064852569093720e-02 1.819672415209960e-01
0.9 17 1.990293385689162e-01 1.990293385689164e-01 1.441411248787201e-01 1.942890293094024e-16 9.761828618152576e-16 5.488821369019611e-02 2.757795111256446e-01
0.9 18 8.542590234343714e-02 8.542590234343732e-02 3.720624709370127e-02 1.804112415015879e-16 2.111903258291401e-15 4.821965524973587e-02 5.644617607418267e-01
0.9 19 -3.883397611600181e-02 -3.883397611600165e-02 -7.134590629456361e-02 1.595945597898663e-16 4.109663128831770e-15 3.251193017856180e-02 8.372032284678939e-01
0.9 20 -1.493082353098485e-01 -1.493082353098484e-01 -1.605580002859754e-01 1.110223024625157e-16 7.435778892712729e-16 1.124976497612690e-02 7.534591077833773e-02
0.9 21 -2.253711600292082e-01 -2.253711600292081e-01 -2.141748611743437e-01 8.326672684688674e-17 3.694648722405091e-16 1.119629885486451e-02 4.967937713686818e-02
0.9 22 -2.539268614374336e-01 -2.539268614374336e-01 -2.234931418837100e-01 5.551115123125783e-17 2.186107878348093e-16 3.043371955372368e-02 1.198523046417537e-01
0.9 23 -2.315596681553688e-01 -2.315596681553687e-01 -1.886793608893345e-01 2.775557561562891e-17 1.198636007588586e-16 4.288030726603428e-02 1.851803796732989e-01
0.9 24 -1.647773395796303e-01 -1.647773395796303e-01 -1.183664459288966e-01 0.000000000000000e+00 0.000000000000000e+00 4.641089365073361e-02 2.816582290327919e-01
0.9 25 -6.836994558931374e-02 -6.836994558931381e-02 -2.766622416481258e-02 6.938893903907228e-17 1.014904113802861e-15 4.070372142450116e-02 5.953452364727810e-01
0.9 26 3.774049949774060e-02 3.774049949774049e-02 6.497236380990457e-02 1.040834085586084e-16 2.757870455976333e-15 2.723186431216397e-02 7.215554821629813e-01
0.9 27 1.325126078283105e-01 1.325126078283104e-01 1.414260585932435e-01 1.110223024625157e-16 8.378244476658501e-16 8.913450764933023e-03 6.726492603995617e-02
0.9 28 1.978707357522276e-01 1.978707357522276e-01 1.873691456249333e-01 8.326672684688674e-17 4.208137526266277e-16 1.050159012729435e-02 5.307298265896360e-02
0.9 29 2.220833008585029e-01 2.220833008585029e-01 1.949002596533883e-01 2.775557561562891e-17 1.249782199216904e-16 2.718304120511464e-02 1.224002034373305e-01
0.9 30 2.018123979590634e-01 2.018123979590634e-01 1.638499521490618e-01 0.000000000000000e+00 0.000000000000000e+00 3.796244581000166e-02 1.881075998992993e-01
0.9 31 1.424839232966934e-01 1.424839232966934e-01 1.015598252703820e-01 2.775557561562891e-17 1.947979461362364e-16 4.092409802631143e-02 2.872190565745121e-01
0.9 32 5.695794106848593e-02 5.695794106848601e-02 2.122167425655448e-02 7.632783294297951e-17 1.340073596607071e-15 3.573626681193146e-02 6.274150038001260e-01
0.9 33 -3.719533312084127e-02 -3.719533312084117e-02 -6.086201408011473e-02 1.040834085586084e-16 2.798292146502875e-15 2.366668095927345e-02 6.362809248779803e-01
0.9 34 -1.212497247778460e-01 -1.212497247778459e-01 -1.285380793969770e-01 1.110223024625157e-16 9.156499337704142e-16 7.288354619130938e-03 6.011027763143113e-02
0.9 35 -1.789990452170181e-01 -1.789990452170180e-01 -1.689401786236677e-01 1.110223024625157e-16 6.202396349539877e-16 1.005886659335045e-02 5.619508518134887e-02
0.9 36 -1.998416283928569e-01 -1.998416283928568e-01 -1.749012398655047e-01 1.110223024625157e-16 5.555514301768171e-16 2.494038852735214e-02 1.248007671270738e-01
0.9 37 -1.806926853404877e-01 -1.806926853404876e-01 -1.461936494246385e-01 8.326672684688674e-17 4.608195771178193e-16 3.449903591584919e-02 1.909265770821936e-01
0.9 38 -1.263846318407162e-01 -1.263846318407162e-01 -8.938751213524804e-02 2.775557561562891e-17 2.196119513218153e-16 3.699711970546818e-02 2.927343235219929e-01
0.9 39 -4.851622932366925e-02 -4.851622932366925e-02 -1.638963879067757e-02 0.000000000000000e+00 0.000000000000000e+00 3.212659053299168e-02 6.621823455954010e-01
0.9 40 3.698741842187622e-02 3.698741842187619e-02 5.802024138143746e-02 2.081668171172169e-17 5.628043967353410e-16 2.103282295956124e-02 5.686480391700269e-01
0.9 41 1.130983408756475e-01 1.130983408756474e-01 1.191527109349730e-01 2.775557561562891e-17 2.454109883552261e-16 6.054370059325562e-03 5.353190871281118e-02
0.9 42 1.650467120979510e-01 1.650467120979509e-01 1.552828002429416e-01 2.775557561562891e-17 1.681680008212263e-16 9.763911855009327e-03 5.915847538492434e-02
0.9 43 1.831614688073502e-01 1.831614688073501e-01 1.598772176585155e-01 5.551115123125783e-17 3.030722105075748e-16 2.328425114883462e-02 1.271241779204395e-01
